isim,tel,adres
Lokanta Maya,(212) 252 6884,Kemankeş Caddesi 35-A
Aynen Kebap,5274728,Muhafazacilar Sok. No:23
La Romantica,+90 534 503 7919,Küçükayasofya Mah.Mustafapaşa sokak no:16
newhatayrestaurant,00902125129179,hocapasa mahallesi.ibn-i kemal caddesi
Tavanarasi,+902122442882,Asmali Mescit Mah. Emir Han Apt. N0 10 Piso 6 Beyoglu
Akın Restoran,+90 212 256 0007,"Emekyemez Mahallesi, Tersane Caddesi 120/A"
Giritli İstanbul,458 2270,Keresteci Hakkı Sokak Armada Otel Yanı Cankurtaran
seatanbul cafe restaurant,+90 212 638 0969,"Kucuk Ayasofya Mahalle. Cayiroglu, Sokak 32"
Cafe Galata,+90 2499261,"Kule Cikmazi Sokak, No: 11"
Imren Lokantasi,902126381196,Kadirga Meydani 143
Müessese Ortaköy,+90 212 258 0059,Mecidiye Mah. Eski Bahce Sok.
Sah Bar,212519 58 07,Divan Yolu Caddesi Incili Cavus Cikmazi Sokak No:9
Class Kardelen Restaurant,"
",Muradiye Caddesi No. 3
Şehzade Erzurum Cağ Kebabı,5203361,"Hocapaşa Sok. 3/A, Sirkeci"
Levrek Balik Lokantasi,+90 2122927920,"Meclisi Mebusan Caddesi, Mebusan Yokusu No. 29"
Red River Pub,+90 212 513 7310,Hudavendigar Street No: 28-30/B
Juno,+90 212 291 57 23,15 Mim Kemal Oke Street
İkonium Etiler,+90 212 269 6982 ,Nispetiye Caddesi No: 28
Sultanahmet Buhara Kebab House,+90 212 513 7799,Alemdar Mahallesi Nur-u Osmaniye Caddesi No: 5
Borsam Taşfırın Bahariye,"
","Caferağa Mh., Serasker Cd. No:78"
Babel Ocakbasi Restaurant,5343573610,"Suslu Saksi Sokak, No 10/A Beyoglu"
CanIm Cigerim,212 243 10 05,Taksim
Mikla Restaurant,90-212-293-5656,"The Marmara Pera Hotel, Mesrutiyet No 15"
Gaziantepli Çavuşoğlu,5187665,Mimar Kemalettin Mah. Ordu Cad. Şair Fitnat Sok. No:4
Göreme Muhallebicisi,"
",Kurtulus Cd. No.82
Cloud 34 - Hilton Istanbul Bomonti,+(90)7083194,Silahsor Caddesi No:42 Bomonti Sisli
Mellow,+90 212 245 2253,Kilicalipasa Mah. Akarsu Cad. No:30/B Cihangir
Güvenç Konyalı,5275220,Ankara Cad. Hoca Paşa Hamam Sok. No:4 Fatih
Klemuri,2122923272,Büyükparmakkapi Tel Sokak No:2
Palatium Cafe & Restaurant,+90 543 844 5413,"Cankurtaran Mah. Kutlugün Sok. No:33 Sultanahmet, Fatih"
Tarihi Çeşme,902125163580,Kadırga Limanı Cadessi
Divan Bebek Brasserie,02122632973,Bebek Mah. Cevdet Paşa Cad. No:28/A Beşiktaş
TAG Cafe & Bistro Istanbul,+90 212 243 6862,Postacılar Sokağı 6A-211
Kafe Eski Bahce,+90 212 227 8514,Mecidiye Mahallesi Eskibahce Sokak 2/E Ortakoy Besiktas
Ristorante Italia Di Massimo Bottura,2123366666,Zorlu Center
House of Medusa,+90 212 511 4116,Yerebatan Caddesi No:9
Parantez Deli,+90 212 256 2603,"Kocatepe Mahallesi, Lamartine Cad No 4"
Ulus 29 Restaurant,212 358 2929,Adnan Saygun Caddesi Ulus ParkI Ici No. 71/1
Kayıkçı Restaurant,519 1217,Divanyolu Cad. Ticarethane Sok. No. 35
Vefa Bozacisi,"
","Vefa Cd No:75, Mollahusrev Mh., Fatih, Turkey"
Picante,+902122524753,General Yazgan Sok. no 8/b
Karakoy Lokantasi,90(212) 292 44 55,Kemankes Cad. No : 133 Karakoy
Belkıs Pera,+(90)2122438388,Evliya Celebi Mahalle Simal Sokak Apartiman Belkis 3A/2 Sishane Beyoglu
Halil Lahmacun,"
",Guneşlibahçe Sok 26
Akdamar Restaurant,5127711,Hoca Paşa Mah. Hoca Paşa Sok. No:25/B Fatih
Galata Kitchen,+90 212 252 2022,Tatar Beyi Sk 9
Reggae BR Shot & Food,+90 537 923 7367,Kucuk Ayasofya Mah. Kadirda Limani Cad. No: 147/1
Summit Restaurant,8868400,Büyük Çekmece Mah. E-5 Otoyolu Hadımköy Sok. Kaya Ramada Plaza Hotel
Amira Hotel Restaurant,0212 516 1640,Kucuk Ayasofya Mh. Mustafa Pasa Sokak 79
Antique Turquoise Cafe Restaurant Bar,902125173750,"Akbiyik Cad , No 40"
Cistern,212-518 23 24,Kucukayasofya Caddesi
Arola,+90 212 924 0200,Raffles Istanbul Zorlu Center
Gulhane Sur Cafe,902125280986,36-40 Soguk Cesme Sokak
Neoclassic,+90 212 292 4813,Istiklal Cad. Ors Turistik Is Merkezi No:151 Kat 1
Cigdem pastanesi,"
",Divanyolu Cad. 62
Baylan pastanesi,0216 346 63 50,Muvakkithane Caddesi No:19 Kadıköy
Ehli Kebap & Lahmacun,6313700,Sofular Mah. Simitci Sakir Sok. No:32
Donerci Celal Usta,3293540,Resit Pasa Cad. No:47/I
Parantez Bistro,+90 212 245 7513,Asmalımescit Mah. Jurnal Sok. No:1 İstiklal
NAR Lokanta,+90 212 522 2800,Nuruosmaniye Caddesi No. 41
Akdeniz Hatay Sofrasi,2124447247,Ahmediye Caddesi No:44/A Fatih 34091
Donerci Sahin Usta,212 526 52 97,"Taya Hatun Mh., Mahmutpasa Yokusu Sk No:9"
Ara Kafe,2454105,"Tomtom Mah. Yeni Çarşı Cad. Tosbağa Sok. No:2 Cihangir, Beyoğlu"
Ciya Sofrasi,(216) 330 31 90,Guneslibahce Sokak 43
harem istanbul cafe restaurant,905376624764,"Bicki Yurdu Sokak, Guz Han No 10"
lokanta helvetia,0090212 245 8780,"General Yazgan Sokak, No: 8"
Set Balik Lokantasi,0212 262 0411,Kirecburnu Mah. Misir Cad. No. 8
Ouzo Roof Restaurant,+90 216 400 0030,Fener Kalamis Caddesi No 38
Bosphorous Grill Ciragan Palace,212 326 4646,Ciragan Palace Kempinski Istanbul
Topaz Restaurant,249 1001,Inonu Caddesi Omer Avni Mahallesi No 50
Terrace 86 Cafe & Restaurant,+90 212 471 8111,Atakent mahallesi 235 Sokak No 19
Hisko Kofte Kebap,2122513591,Bogazkesen Cad No 104/A
Cafe Naftalin K.,+90 533724388,Balat Mah. Yildirim Cad. No:22A
Van Kahvaltı Evi,2936437,Defterdar Yokusu No: 52 A
Zübeyir Ocakbaşı ,+90 212 293 3951,İstiklal Cad. Bekar Sok. No:28
Bayramoglu Doner,4130045,Cumhuriyet Cad. Seyfi Baba Sok. No:2
Tadal Pastanesi,+90 212 269 8770,Çarşı caddesi no:23 1.Levent
Aheste Restaurant,902122432633,Serdar-I Ekrem Sokak no:30/A Galata
Heirloom Cafe-Market Istanbul,2122433010,"Gullabici Sokak, Adile Nasit Cikmazi No. 6, Cihangir, Beyoglu"
Four Seasons Sultanahmed,+90-212-402-3000,Cankurtaran Mh.
Sofa Cafe & Restaurant,+90 212 458 3630,Mimar Mehmet Aga Caddesi No:16
Yeni Lokanta,+90 212 2922550,Kumbaraci Yokusu No: 66
Spectra Cafe Restaurant,+90 212 516 3546,Şehit Mehmet Paşa Yokusu No:2
Marko Paşa ,0212 252 8080‎,Sadri Alışık Sok. No:8
Rumeli Meyhanesi,902122516400,Asmali Mescit Sok n:16
Veranda Pera,905462334450,Tepebasi Mah. Mesrutiyet Cad. No:83 Kat 3-4(Teras)
Latife Turk Kahvecisi,"
",Galip Dede Cad. No:85 Galata
Barbecue House,90 212 511 03 61,Yerebatan Cad. No 19
Ekmek Arası,+(90)2122783855,Ortabayir Mah. Atalar Cad. No:5/A x
EON Dreamer's Kitchen,+90 212 513 3131,Ebusuud caddesi no:10 Sirkeci
Sultan Köşesi,+90 212 516 6606,Küçükayasofya Caddesi
Barbecue restaurant,05326450356,Alemdar Mah. Catal Cesme sok. No .5
3B Kitchen,+(90)0212 522 66 31,Cankurtaran Mah. Alemdar Caddesi No: 14/A
Caffe Privato,0212 293 20 55,Galip Dede Cad. Tımarcı Sok. No:3
Karafirin Sultanahmet,+90 212 517 5000,Cankurtaran Mh. Akbiyik Cd. No 56
Asitane Restoran,+90 212 635 7997,"Kariye Camii Sokak No: 6, EdirnekapI"
Oba Et Lokantası,5181623,Mimar Kemalettin Mah. Tiyatro Cad. No:69 D:1 Kumkapı
New Hatay Restaurant Kebab & Fish House,212 511 5339212 511 5339,Ibni-Kemal Caddesi-Sirkeci
Blu Kitchen İstanbul,+(90)5149828,Hüdavendigar caddasi no:5 Sirkeci İstanbul 34110
Lezzet-i Sark,0090-212-514-27-63,Hasircilar Caddesi No 52
Seasons Restaurant,212-638-8200,Tevkifhane Sokak
Ana Sofrasi,4155595,"Hoca Pasa Mh., Nobethane Cd. No:18"
Khorasani Restaurant,0212 519 59 59,"Ticarethane Sok, No 39/41"
Ciao Ciao Istanbul,"
",Hobyar Mah. Arpacılar Cad. No:6 Eminönü/Fatih
Furreyya Galata Balikcisi,2122524853,Serdari Ekrem Sok. No:2/B
Duvares cafe&Restaurant,+90 212 458 9161,Cankurtaran Mah:Akbiyik Cad: NO:54
istanbul enjoyer,+902125128759,incili cavus sok no :7
Matbah Osmanlı Saray Mutfağı,212 514 6151,Caferiye Sokak No 6/1
Sehzade Turkish Kithcen,+90 537 266 1201,Sultanahmet Mahallesi Kucuk Ayasofya Caddesi No-9
Esmer Chef Cafe,0212 513 65 35,Ankara Caddesi No:225 Sirkeci
The Local Cafe Restaurant,+(90)00905369540219,Piyer Loti Cad No:34
Sirvan Sofrasi,+90 212 517 5181,Küçük Ayasofya Mahallesi
Lucky Texans -Steak & Burgers,02125198990,Ankara Cad. No: 42
Sultanahmet Fish House,90 212 527 44 41,Prof. K. Ysmail Gurkan Caddesi No: 14
Amedros Cafe & Restaurant,+90 212 522 83 56,Divanyolu Cad Hoca Rustem Sok No / 7
Antiochia Restaurant,+90 212 244 0820,Asmalimescit Mah. General Yazgan Sok. No. 3
The New Season Restaurant Hotel,+(90)5326755585,küçük ayasofya caddesi yeğen sokak no:1 A
Peymane Ocakbaşı,+90 212 244 0955,Tomtom Mah. Boğazkesen Cad. No:65/H
Meat House Restaurant,458 6863,"Kutlugun Sok No 34, Istanbul"
Şerbethane Cafe&Restaurant,+90 212 517 00 04,Sultanahmet Mah. Kabasakal Cad.Arasta Carsisi No: 117
Ortaklar,902125176198,Pekhane Sok. No:27
Darussaade Terrace Restaurant,+90 212 518 3636,Akbiyik cad No:90
Boterra Restaurant,+90 212 522 0539,"Alemdar Mahallesi Yerebatan Caddesi NO:30, Sultanahmet"
Küçük Ev,+90 212 511 3343,Incili Cavus Sokak
Keyf-i Mekan Cafe And Restaurant,+90 212 522 5861,Tığcılar Sokak No: 48
Çağrı Restaurant,+90 532 247 6947,Aksaray Caddesi No:49
Mitani Cafe,+902126387047,Akbiyik Cadessi
Şiva Cafe Restaurant,+90 212 458 0017,Akbiyik Caddesi No: 22
Babel Cafe Restaurant,0212 244 2665,Turnacibasi Cad. No 56 Beyoglu/Istanbul
Oksijen Cafe,90 212 245 9320,Küçükhendek Şahkulu Mah. No: 5A
Peninsula Restaurant,254 7700,Tersane Cad. Istanbul Golden City Hotel No.111
Özen Lokantası,+90 212510730,Mimar Kemalettin Mah. Tiyatro Cad. Asmakandil sok. No:16 D:1 Beyazıt/Fatih
Nostra Casa,05392030092,K. Ayasofya Cad. Mustafa Pasa Sok. No. 42 Sultanahmet Fatih
Little havana,+90 538 429 9450,Kucukayasofya Mahallesi Mustafapasa Sokak No 26/A sultanahmet
Varka Antakya Lezzetleri,+90 212 243 8927,Asmalımescit Mah. Emir Nevruz Sok. No: 2/E
Çaylak Cafe,+90 532 478 3475,Kuloğlu Mahallesi Ağahamamı Sokak No:24/A
KebabuZer,0212 517 33 77 - 78,Mimar Hayrettin Mah. Gedikpasa Cad
Stone House Restaurant & Cafe,905444497820,Kucuk Ayasofya Cad. Kaleci Sk. No 7
Tria Elegance Restaurant,902125184518,Akbiyik Caddesi
Tuğra Restaurant,+90 212 326 4646,Çırağan Cad. Çırağan Palace Kempinski İstanbul No:32 Çırağan
Grillo Restaurant & Bar,+90 212 266 0896,"Cemal Sahir Sokak 7-9, Mecidiyekoy"
Gile Restaurant,+90 212 327 1166,Sair Nedim Caddesi Akaretler Sira Evleri E-Blok No:14 Akaretler
Paşazade Restaurant Ottoman Cuisine,905133750,Ibn-i Kemal Caddesi 5/A
Fine Dine Istanbul,+(90)2125169696,Dr. Imran Oktem Cd. No:4 Sultanahmet
Fener Restaurant,+90 212 516 4002,Telliodalar Sokak No:5
Adora Restaurant,+90 212 527 4949,Hudavendigar Caddesi Erdogan Sok.No: 14 - 16
Viva Restaurant,+(90)2125141629,"İbn-i Kemal Sokak, No 20, Fatih"
Anatolian Cuisine,+90 212 511 0504,Alemdar mah.Çatalcesme sok.Muhtar aykın han.19/1 A Sultanahmet-İstanbul
Bilice Karafirin,90 2122444447,8 Asmali Mescit Cd
Bosphorus Grill Cafe & Restaurant,+90 539 798 3203,"Kutlugun Sokak No:35 Sultanahmet, Istanbul"
istanbul restaurant,5369579008,Alemdar Mah. Bestekar Osman Sk No 9
Why Not,905300762086,"Emin Sinan Mahallesi, Piyerloti Caddesi, No 45/A"
Solera Winery,02122522719,Yenicarsi Cadessi 44
Galapagos Restoran,+90 542 251 7254,Istanbul Caddesi no:35
Beyti Restaurant,+90 212 663 29 90,Orman Caddesi 8 Florya
sultan kebab house,+90 537 704 1098,Piyer Loti Cd no 41
Harab'be,+902125222930,Ticarethane Sk.
istanbul anatolia cafe and restaurant,00 90 212 527 89 07,Divanyolu Cad. Ticarethane Sok. No 21/A Sultanahmet
Antakya Restaurant,+90 212 518 0117,Mimar Hayrettin Mah. Divan-i Ali Sok. No:12c Beyazit
Aretin Yeri,+90 212 292 1010,hasnun galip sokak no23 kat 1
Caferaga Medresesi,0212-513-3601,"Cankurtaran Mh., 34122 Fatih"
Imbat Restaurant,+90 212 520 71 91,Hocapasa Mh. Hüdavendigar Caddesi No:24
Kalem Restaurant,+90 212 516 9589,Binbirdirek Mah. Klodfarer Cad. No:29/2
Sirevi Restaurant & Bistro,0212 512 69 42,Divanyolu Cad. Hoca Rustem Sokak
Aloran Cafe & Restaurant,+90 212 458 8528,Cankurtaran Mah. Akbiyik Cad. Adliye Sok. No.11
Hafız Mustafa 1864,+90 212 513 3610,"Hobyar Mahallesi, Hamidiye Caddesi No:84"
mitara cafe & art,+90 212 638 4480,Küçük Ayasofya Mah. Kaleci sok. No:9/101 F
Babylonia Garden Terrace Restaurant,+90 212 517 4608,Akbiyik Caddesi No:19
Antiochland Cafe & Restaurant,+90 212 511 3134,Alemdar Mah. Kazım İsmail Gürkan cad. 24/A
Ozi Pizza and Pasta,+90 212 516 4447,Binbirdirek Mah. Sultanahmet
Old Galata Restaurant,+90 212 511 4466,Prof.Doktor Kazım ismail Gürkan Caddesi no:13
Biber Burger,212 274 1916,"Ciragan Caddesi, No. 11"
Arsenal Cafe&Restaurant,2125137585,Divanyolu Str. Eminpasa Road 8 Sultanahmet
Pideban,2424239,Merkez Mah. Dereboyu Cad. No:19/A
Azzur Restaurant,3192929,Emniyet Evleri Mah. Akarsu Cad. Movenpick Hotel No:1 K:Giris
Tuzla Balıkçısı,216 395 99 10,Manastir Mevki Cafer Bey Sok. No:28
Kurucu Ali Baba Kanaat Lokantası,5207655,Süleymaniye Mah. Prof. Sıddık Sami Onar Cad. No:1 D:3 Fatih
Casita,3278293,Abdi Ipekci Cad. Atiye Sok. No:3
Mostra Balık,+902126385801,Küçük Ayasofya Mah. Mustafa Paşa Sok.
Serger,+90 2163464682,Moda Cd. 100/A Kadikoy
Mekan,2526052,Tomtom Mah. İstiklal Cad. Eski Çiçekçi Sok. No:3 Cihangir
Baylo Bistro And Bar,2436018,Asmalımescit Mah. Meşrutiyet Cad. No:107/A
By Esat,2163385959,"Kalamis Mahallesi, Nurettin Selcuk Kadessi, No. 42"
Kale Van Kahvaltı Salonu,902124155316,Kennedy caddesi 85
Köz Kanat Restaurant,2164883084,"Kordonboyu Mah. Turgut Ozal Bulvarı No:55, Atalar, Kartal"
Kiki Sıraselviler,212 243 5373 ,Siraselviler Cad. No. 42
Babylon Lounge,+90212 245 3800 (Saat 10:00 - 01:00 arası),"Jurnal Sokak No:4 Tunel,AsmalImescit,Beyoglu"
City's Mahalle,+90 212 373 3333,"Teşvikiye Caddesi , Teşvikiye Mahallesi. No: 162"
Dicle Balık Evi,(0216) 450 27 50,Muvakkithane Caddesi No:57
Pasa Kokorec ve İskembe Salonu,0216 318 12 80 ,Çengelköy Caddesi No: 53
Köfte Villa,3584667,Sekbanlar Sok. No:55 D:1 Beşiktaş
Hakiki Kebap,4921748,Icadiye Mah. Cumhuriyet Cad. No:165/A
Buhara,3527191,Bağdat Cad. Yenice Pasajı No:427 D:2 Maltepe Merkez
Özkanoğlu,0212 2498227,Mumhane Caddesi 5A
Kydonia Kurucesme,+90-212-2571131,Muallim Naci Caddesi 107
Zamane Kahvesi,"
",Vali Konağı Cad. No:85 D:1 Nişantaşı
Polina,+902164323153,Koy Meydanindan Sala No:88
bi bucuk,3804020,Bagdat Cad. No:477/A
Suda Kebap,2651163,Kurucesme Mah. Galatasaray Adasi Muallim Naci Cad.
Rigel Restaurant,902163210362,Kuleli Cad. No 55
Sahra Dürüm,3257509,Acıbadem Cad.
Adana Dostlar,472 9093,"Yenisahra, Barbaros Mh. Halk Cd. ( Palladium AVM Karşısı ) No.31"
Carsi Kebap,3907109,Bati Mah. Gazi Pasa Cad. No:48
İstanbul Balık Restaurant,2932346,Yeni Galata Köprüsü No:4 Beyoğlu
Elvan Pastanesi,2122528329,Firuz Aga Cami Sk. No: 2/A Beyoglu - Istanbul
Anjelique,212 327 28 44,Muallim Naci Cad. Salhane Sok. No:5
Changa,251 7064,Siraselviler Cad. No. 47 Taksim
Dogan Kebap,5275374,"Terlikciler Sok, No. 41, Kapali Carsi, Grand Bazaar"
Gritti Restaraunt,+9(0212) 243 9940 ,Asmalı Mescit Cad. No:20 Tünel - Beyoğlu
The House Cafe Tünel,2459515,"Asmalımescit Mah. General Yazgan Sok. No:9 D:1-2 İstiklal, Beyoğlu"
Mustafalar Lahmacun ve Pide,5839793,Incirli Cad. No:38/C
Olimpiyat 2 Minas Restoran,90 212-5172240,Samsa Sok. No:7
Haci Abdullah Lokantasi,+90212 293 85 61,Aga Camii YanI SakIzagacI cad. No:17 Beyoglu
Cadde Istiklal Pasta & Cafe,2165500155,Osmanaga Mah. Halitaga Cad. No:11/A Kadikoy/Istanbul
Anatolian House,+90 212 512 69 42,Divanyolu Cad.
La Trattoria,902163560930,31 Doktor Faruk Ayanoglu Caddesi
Delicatessen Istanbul,2122448455,"Asmalimescit Mah. Oteller Sokagi, 10/B Beyoglu"
Swaad,0090212 518 71 10 - 0090212 518 71 11,Binbirdirek Mah. Peykhane Sok.
raymond restaurant,+90 212 513 4848,Ebusuut Caddesi.No:22
Mado,+(90)2124417140,ESKI LONDRA ASFALTI KÜLTÜR SOKAK
Kafeka Nargile Cafe Restaurant,2495105,İstiklal Cad. Küçük Parmakkapı Sok. No:4/B Taksim
Petti Rosso,+(90)212 245 9443,Sahkulu Mah. Gali Dede Cad. No: 56 - Galata - Beyoglu
Alice Pub Restaurant,+(90)2125162516,Kucukayasofya Mah. Kaleci Sok. No:14
Kulinata,+(90)2122931106,HacI Mimi Mh. Luleci Hendek Cd. No:21A
Edirne Kırkpınar Lokantası,5408545,Yukarı Dudullu Mah. Keyap Çarşısı D:17 Ümraniye
Sarnic Hotel Roof Restaurant & Bar,5182323,Kucuk Ayasofya Caddesi No: 26
HAFIZ AHMET cafe&restaurant,0212 5271037,"Hocapasa Mahallesi Hudavendigar Caddesi,#34"
Sarıhan Gusto,3584848,"Nispetiye Cad. No:109 Etiler, Beşiktaş"
Pizzeria 14,3438660,Guzelbahce Sok. Hancioglu Apt. No:14/A
Kobet Steakhouse,0212 777 38 08 ,"Semerkand Line Avm, Baris Mah. Mehmetcik Cad. No. 2B/10 Beylikduzu"
AyaSofya Bufe,5135220,"Yerebatan Caddesi, Nº 58"
Taş Kahve,+90 212 277 6430,Sakıp Sabancı Cad.
Savoy Balık,0(212) 249 33 82,Bakraç Sokak No: 32
Hala Mantı,2937531,"Katipmustafaçelebi Mah. Çukurlu Çeşme Sok. No:14/A Cihangir, Beyoğlu"
Sensus Sarap & Peynir,"
",Bereketzade Mah.
Roka Pera Restaurant,2122458817,Mesrutiyet Cad. No. 70 Tepebasi
Bufedebar,212 257 1109,"Arnavutkoy, Bebek- Arnavutkoy Cad. 64/A"
Anatolia Restaurant,6382985,Ordu Cad. Hazinedar Sok. Kent Hotel No:2
Oz Gaziantep Aile Kebap Salonu,5039318,Hurriyet Cad. No:12
Konyali Lokantasi Topkapi Palace,+90212 513 96 96,Topkapı Sarayı Müzesi Sultanahmet
Art Istanbul,2925888,Kuloglu Mah. Gazeteci Erol Dernek Sok. No:8
Altin Kapi Iskender ve Et Salonu,212 589 41 61,139-141 Millet Caddesi
Meşale Restaurant,90-212-272-0161,Prof. Bülent Tarcan Sok. No:6 D:1 Mecidiyeköy
Havan Restaurant,216 533 3330,Soyak Yenisehir Cakmak Mah. Cevahir Cad. Ustad Sok
HomeRoom,0212 243 40 88,Cihangir Cad. No:37/A
Mavi Onur Guesthouse,4580690,Küçük Ayasofya Mah. Aksakal Sok. No:28
Galata Kulesi,2938183,Bereketzade Mah. Büyük Hendek Sok. No:2 Beyoğlu
Adem Baba,2632933,Arnavutkoy Bebek Caddesi
The Kebap and Steak,2936732,Gümüşsuyu Mah. İnönü Cad. No:22 Beyoğlu
Bursa Gül Restaurant,0212-512-0854 ,Vezirhan Cad. No:56/A Çemberlitaş
Karadeniz aile Pide & Kabap,02125229191,Divan Yolu Cad. Haci Tahsin Bey Sok.No:1
Walk-in 29,+90 212 571 2929,Aqua Florya Alisveris Merkezi
Canlı Balık İstinye,+90 212 242 9191,istinye caddesi no:34 istinye
Ozkonyali,"
",Yesilyurt
Kırçiçeği,0212 260 3535,Muallim Naci Caddesi No:41
Hanedan Restaurant,(0212) 259 40 17,Cigdem
Forno Balat,"
",Balat Mh. Fener Kirechane Sok. No. 13 Fener
Özgün,2520068,Sahne Sok. Balık Pazarı No:9 Beyoğlu
Saltanat Restaurant,6041500,Tasocagi Yolu Cad. Holiday Inn Istanbul Airport North No:35
Sari Kosk,2295037,Emirgan Korusu
Grand Vezir,2125181351,At Meydanı Cad. No:27 D:1 Fatih
Sera Ayasofia Konakları,+90 212 5133660,Soğuk Çeşme Street 34400
Şeyhmuz Kebab,:(0212) 526 16 13 - 512 41 02,"Mollafenari Mah., Medrese Sok. No:2,"
Köşebaşı,3866668,"Bağdat Cad. Kavrakoğlu Apt. No:235 D:1 Göztepe, Kadıköy"
Patatos,"
",İstiklal Cad. No: 185/A
Mavi Bufe,5119929,Buyuk Postahane Cad. No:11
Durumce,2494142,Sadri Alisik Sok. Idris Bey Is Hani No:16/A
Grande Cafe Istanbul,+90 212 512 7780,Divanyolu caddesi no48
Bambi Cafe,2923406,"Sıraselviler Cad. Kazancı Yokuşu No:14/A Taksim, Beyoğlu"
Nar Grill & Steak House,+(90)2125191227,Alemdar mah. Ticarethane sok. No:7
Bereket Doner,6111919,Istanbul Cad. No:1
Mano Burger,(212) 292 75 42,Asmalimescit Mah. Asmalimescit Sok. No:7 / Beyoglu
Assk Kahve / Nisantasi,02122319172,Abdi Ipekci Cad. Milli Reasurans Carsisi No:63 D:66
Sarova Restaurant,212 517 60 25,Mimar Kemalettin Mah. Mithatpasa Cad. Abuhayat Sokak No:7
Lucca,2571255,"Cevdet Pasa Caddesi 51, Bebek"
Marina Balik Restaurant,287 2653,Kuru Cesme Mah. Kuru Cesme Parki Arnavutkoy
Mercan,3363403,KadIkoy BalIkcI CarsIsI
Park Fora,+90 212 265 5063,Muallim Naci Cad.Cemil Topuzlu Parkı İçi No:54/A
The House Cafe Teşvikiye,2592377,"Atiye Sok. İskece Apt. No:10 D:1 Teşvikiye, Şişli"
GunaydIn,3455781,istinye park
Villa Bosphorus Çengelköy,902164228080,Albay Husamettin Erturk
Megara Roof,5183656,İshak Paşa Cad. Megara Palace Hotel No:8 Fatih
Bagdat Ocakbasi Cezayir'in Yeri,4625804,Merkez Mah. Fevzi Cakmak Cad. Ikbal Sok. No:4
The Bosnjak Mutfak,0212 287 07 23,"Nispetiye Cad, No:104, Etiler"
Güney Restaurant & Cafe,3619848,"Kozyatağı Mah. Şehit İlknur Keleş Sok. Gökhan Apt. No:14 D:1 Kozyatağı, Kadıköy"
Snog Galata,+(90)2122771777,"Galata Kulesi Sokak, No:3-E, Beyoglu, Istanbul"
Musafir Indian Restaurant,+90 212 235 2741,Talimhane Recep Paşa Cad. No:7/C
Hatay Antakya Mutfagi,+(90)2122363985,Sinan Pasa Mah. Sair Nedim Caddesi NO 20 Akaretler
Balkan Lokantası,2587763,Şair Leyla Sok. No:27 Beşiktaş Merkez
Beppe Pizzeria,"
",Ferit tek sokak moda
Yonca Restoran,2660013,"Damla Sok. Damla Han No:4 D:1 Mecidiyeköy, Şişli"
Chilai,263 6315,Bebek Mah. Cevdet Pasa Cad. No. 60
Dervis Cafe & Restaurant,212 516 1515,Across the street from Blue Mosque
Kat4 Restaurant,+90 212 514 6688,Hobyar Mah. Yali Kosku Cad. Altinhan No:64 Kat:4
Haniz Mustafa,+90 (212) 527 66 54,Hocapasa Mahallesi Muradiye Caddesi No: 51
Sahan Kebap,+90-216-373-29-39,Caddebostan Bagdat Caddesi
Mira,2125166439,Nakilbent Sk. No:9/1
Kızılkayalar Hamburger,2511357,"Sıraselviler Cad. No:2/C Taksim, Beyoğlu"
Namlı Gurme,2936880,Rihtim Cad
Ponte Restaurant & Pre-Club,2457782,Istiklal Cad.Beyoglu Is Merkezi No:365
Urban Cafe,2521325,"Kartal Sok. No:6/A Galatasaray, Beyoğlu"
Masa Restaurant,3455323,Pinar Mah. Istinye Bayiri Cad. IstinyePark Alisveris Merkezi K:4 D:486
Beyoğlu Pizza,2525719,"Sıraselviler Cad. D:59/A Taksim, Beyoğlu"
Leyla Cihangir,+90 212 243 2148,kılıçali Paşa Mah. Akarsu Yokuşu No:36/A Cihangir
Rulo Ezberbozan Lezzetler,216 449 3366,"Nailbey Sokak no.15b, Kadikoy"
Sirin Doner Kofte Salonu,3789677,Kurtkoy Mah. Aksemsettin Cad. D:21
Any Cafe,212 265 0269,Arnavutköy Bebek Caddesi No:71/A
Midpoint,"
","Aqua Florya AVM, Florya"
Şimşek Pide,2494642,Taksim Cad. No:2A Beyoğlu
Ca d'Oro,+90 212 243 82 92,"Salt Galata, Bankalar Cad. No:11"
Atölye Kuledibi,2437656,Galata Kulesi Sok. No:4 D:1 Beyoğlu
Turkish Pub,5142531,Hudavendigar Cad. Saffeti Pasa Sok. Emin 1 Hotel No:18 K:Giris
EL Marina restaurant,2124580567,Üstad Sokak No:15 Kumkapi
Il Padrino Ristorante,5734545,Ataşehir Girişi Karaman Çiftlik Yolu No:10/A Ataşehir Merkez
Leonardo,+90 216 432 30 82,Polenezkoy
Fedora Bistro,+90 212 243 0650,Istiklal Street Bekar Sok. Number:3/A Beyoglu
gaziantepli mehmet usta lahmacun kebap salonu,902125881606,Koca Mustafapasa Caddesi
Forneria,0212 252 48 48,Necatibey Caddesi No:38- Karakoy
Alancha Istanbul,+(90)212 261 35 35,Hüsrev Gerede Caddesi Şehit Mehmet Sokak No:9 Maçka Kempinski Residence Maçka
Murat's Kebab House,5230101,Topkapi Cad. No:19
Cafe Firuz,0212 - 2520241 ,Defterdar Yokusu No:55
Lacivert Restaurant,413 4224,Korfez Cad. 57/A
Villa Hagia Sophia,+90 212 458 11 22 / 23,Kucuk Ayasofya Mah. Kucuk Ayasofya Medresesi Sok 6
